date	soi-index	MA-6	MA-12
1951-01-01	2.5		
1951-02-01	1.5		
1951-03-01	-0.2		
1951-04-01	-0.5		
1951-05-01	-1.1		
1951-06-01	0.3	0.4166666666666667	
1951-07-01	-1.7	-0.2833333333333333	
1951-08-01	-0.4	-0.6	
1951-09-01	-1.8	-0.8666666666666667	
1951-10-01	-1.6	-1.05	
1951-11-01	-1.3	-1.0833333333333335	
1951-12-01	-1.2	-1.3333333333333333	-0.4583333333333333
1952-01-01	-1.5	-1.3	-0.7916666666666666
1952-02-01	-1.0	-1.4000000000000001	-1.0
1952-03-01	0.9	-0.9500000000000001	-0.9083333333333333
1952-04-01	-0.4	-0.75	-0.9
1952-05-01	1.2	-0.3333333333333333	-0.7083333333333334
1952-06-01	1.2	0.06666666666666665	-0.6333333333333334
1952-07-01	0.8	0.45	-0.425
1952-08-01	0.1	0.6333333333333333	-0.38333333333333336
1952-09-01	-0.4	0.4166666666666667	-0.26666666666666666
1952-10-01	0.6	0.5833333333333334	-0.08333333333333337
1952-11-01	0.0	0.3833333333333333	0.024999999999999977
1952-12-01	-2.0	-0.15	-0.041666666666666706
1953-01-01	0.5	-0.19999999999999998	0.12499999999999999
1953-02-01	-0.8	-0.35000000000000003	0.14166666666666666
1953-03-01	-0.3	-0.3333333333333333	0.041666666666666644
1953-04-01	0.3	-0.3833333333333333	0.09999999999999998
1953-05-01	-2.8	-0.85	-0.2333333333333333
1953-06-01	0.2	-0.4833333333333332	-0.31666666666666665
1953-07-01	-0.0	-0.5666666666666665	-0.3833333333333333
1953-08-01	-2.0	-0.7666666666666666	-0.5583333333333332
1953-09-01	-2.1	-1.0666666666666667	-0.7000000000000001
1953-10-01	0.1	-1.0999999999999999	-0.7416666666666667
1953-11-01	-0.5	-0.7166666666666667	-0.7833333333333333
1953-12-01	-0.8	-0.8833333333333333	-0.6833333333333332
1954-01-01	1.1	-0.7000000000000001	-0.6333333333333333
1954-02-01	-0.5	-0.45	-0.6083333333333333
1954-03-01	0.4	-0.03333333333333335	-0.5499999999999999
1954-04-01	1.1	0.13333333333333333	-0.48333333333333334
1954-05-01	0.8	0.35000000000000003	-0.18333333333333335
1954-06-01	0.2	0.5166666666666667	-0.18333333333333335
1954-07-01	0.7	0.44999999999999996	-0.12500000000000003
1954-08-01	1.8	0.8333333333333334	0.19166666666666665
1954-09-01	0.3	0.8166666666666665	0.39166666666666666
1954-10-01	0.4	0.7000000000000001	0.4166666666666667
1954-11-01	0.2	0.6	0.47500000000000003
1954-12-01	2.3	0.9499999999999998	0.7333333333333333
1955-01-01	-0.9	0.6833333333333332	0.5666666666666667
1955-02-01	3.1	0.9	0.8666666666666667
1955-03-01	1.1	1.0333333333333334	0.9249999999999999
1955-04-01	-0.2	0.9333333333333332	0.8166666666666668
1955-05-01	1.7	1.1833333333333333	0.8916666666666666
1955-06-01	2.2	1.1666666666666667	1.0583333333333333
1955-07-01	2.6	1.75	1.2166666666666668
1955-08-01	2.4	1.6333333333333335	1.2666666666666666
1955-09-01	2.2	1.8166666666666664	1.425
1955-10-01	2.5	2.266666666666667	1.6000000000000003
1955-11-01	2.0	2.316666666666667	1.75
1955-12-01	1.6	2.216666666666667	1.6916666666666667
1956-01-01	2.2	2.15	1.95
1956-02-01	2.7	2.2	1.916666666666667
1956-03-01	2.2	2.1999999999999997	2.0083333333333333
1956-04-01	1.5	2.033333333333333	2.15
1956-05-01	2.3	2.0833333333333335	2.2
1956-06-01	1.8	2.1166666666666667	2.1666666666666665
1956-07-01	1.8	2.0500000000000003	2.1
1956-08-01	2.0	1.9333333333333333	2.066666666666667
1956-09-01	0.1	1.5833333333333333	1.8916666666666668
1956-10-01	2.9	1.8166666666666667	1.925
1956-11-01	0.2	1.4666666666666666	1.7750000000000001
1956-12-01	1.8	1.4666666666666668	1.7916666666666667
1957-01-01	1.0	1.3333333333333333	1.6916666666666667
1957-02-01	-0.1	0.9833333333333334	1.4583333333333333
1957-03-01	0.3	1.0166666666666668	1.3
1957-04-01	0.4	0.6	1.2083333333333333
1957-05-01	-1.1	0.3833333333333333	0.9250000000000002
1957-06-01	0.3	0.13333333333333333	0.7999999999999999
1957-07-01	0.4	0.03333333333333333	0.6833333333333332
1957-08-01	-0.8	-0.08333333333333333	0.45
1957-09-01	-1.5	-0.3833333333333333	0.3166666666666667
1957-10-01	0.1	-0.43333333333333335	0.08333333333333333
1957-11-01	-1.6	-0.5166666666666666	-0.0666666666666667
1957-12-01	-0.5	-0.6499999999999999	-0.25833333333333336
1958-01-01	-3.1	-1.2333333333333334	-0.6000000000000001
1958-02-01	-0.8	-1.2333333333333332	-0.6583333333333333
1958-03-01	0.4	-0.9166666666666669	-0.65
1958-04-01	0.6	-0.8333333333333334	-0.6333333333333334
1958-05-01	-0.8	-0.7000000000000001	-0.6083333333333333
1958-06-01	0.5	-0.5333333333333333	-0.5916666666666667
1958-07-01	0.7	0.09999999999999998	-0.5666666666666667
1958-08-01	1.5	0.48333333333333334	-0.375
1958-09-01	-0.5	0.3333333333333333	-0.2916666666666667
1958-10-01	0.1	0.25	-0.2916666666666667
1958-11-01	-0.7	0.2666666666666666	-0.21666666666666667
1958-12-01	-1.0	0.016666666666666663	-0.25833333333333336
1959-01-01	-1.5	-0.35000000000000003	-0.125
1959-02-01	-2.3	-0.9833333333333334	-0.25
1959-03-01	2.1	-0.5499999999999999	-0.10833333333333332
1959-04-01	0.7	-0.45	-0.09999999999999999
1959-05-01	0.8	-0.19999999999999996	0.03333333333333335
1959-06-01	-0.2	-0.06666666666666664	-0.02499999999999999
1959-07-01	-0.4	0.11666666666666668	-0.11666666666666665
1959-08-01	-0.2	0.4666666666666666	-0.2583333333333333
1959-09-01	0.0	0.11666666666666665	-0.21666666666666665
1959-10-01	0.8	0.13333333333333333	-0.15833333333333333
1959-11-01	1.5	0.25	0.025000000000000022
1959-12-01	1.5	0.5333333333333333	0.23333333333333336
1960-01-01	0.2	0.6333333333333333	0.37500000000000006
1960-02-01	0.2	0.7000000000000001	0.5833333333333334
1960-03-01	1.7	0.9833333333333334	0.5499999999999999
1960-04-01	1.3	1.0666666666666667	0.6
1960-05-01	0.9	0.9666666666666667	0.6083333333333333
1960-06-01	0.2	0.75	0.6416666666666667
1960-07-01	0.8	0.85	0.7416666666666667
1960-08-01	1.3	1.0333333333333334	0.8666666666666667
1960-09-01	1.1	0.9333333333333332	0.9583333333333335
1960-10-01	0.2	0.75	0.9083333333333333
1960-11-01	0.9	0.75	0.8583333333333334
1960-12-01	1.3	0.9333333333333332	0.8416666666666668
1961-01-01	-0.4	0.7333333333333334	0.7916666666666669
1961-02-01	1.5	0.7666666666666667	0.9
1961-03-01	-3.0	0.08333333333333333	0.5083333333333334
1961-04-01	1.3	0.2666666666666667	0.5083333333333334
1961-05-01	0.5	0.20000000000000004	0.4750000000000001
1961-06-01	0.2	0.016666666666666708	0.4750000000000001
1961-07-01	0.4	0.15000000000000005	0.44166666666666665
1961-08-01	0.2	-0.06666666666666662	0.35000000000000003
1961-09-01	0.1	0.45	0.2666666666666667
1961-10-01	-0.5	0.15	0.20833333333333337
1961-11-01	0.9	0.21666666666666667	0.20833333333333334
1961-12-01	2.5	0.6	0.30833333333333335
1962-01-01	3.3	1.0833333333333333	0.6166666666666667
1962-02-01	-0.5	0.9666666666666667	0.45
1962-03-01	0.2	0.9833333333333334	0.7166666666666667
1962-04-01	0.3	1.1166666666666667	0.6333333333333333
1962-05-01	1.8	1.2666666666666666	0.7416666666666667
1962-06-01	1.2	1.05	0.8250000000000001
1962-07-01	0.1	0.5166666666666667	0.7999999999999999
1962-08-01	1.0	0.7666666666666666	0.8666666666666666
1962-09-01	0.7	0.85	0.9166666666666666
1962-10-01	1.6	1.0666666666666667	1.0916666666666666
1962-11-01	0.5	0.85	1.0583333333333333
1962-12-01	0.3	0.7000000000000001	0.8749999999999999
1963-01-01	1.7	0.9666666666666668	0.7416666666666667
1963-02-01	0.9	0.9500000000000001	0.8583333333333334
1963-03-01	1.9	1.1500000000000001	1.0
1963-04-01	1.3	1.0999999999999999	1.0833333333333333
1963-05-01	0.6	1.1166666666666665	0.9833333333333333
1963-06-01	-0.8	0.9333333333333332	0.8166666666666668
1963-07-01	-0.2	0.6166666666666666	0.7916666666666666
1963-08-01	0.0	0.46666666666666656	0.7083333333333334
